FromBIC,ToBIC,TimeTakenInMinutes,Charges
MHCBJPJTXXX,BARCGB22XXX,115,15
CUSCAU2SXXX,MHCBJPJTXXX,140,20
MHCBJPJTXXX,CUSCAU2SXXX,140,15
ICICINBBCTS,MHCBJPJTXXX,100,20
MHCBJPJTXXX,ICICINBBCTS,100,15
WFBIUS6SXXX,MHCBJPJTXXX,93,15
MHCBJPJTXXX,WFBIUS6SXXX,93,15
ABOCCNBJXXX,MHCBJPJTXXX,109,10
MHCBJPJTXXX,ABOCCNBJXXX,109,15
BKCHCNBJXXX,MHCBJPJTXXX,160,12
MHCBJPJTXXX,BKCHCNBJXXX,160,15
HYVEDEMMXXX,MHCBJPJTXXX,135,10
MHCBJPJTXXX,HYVEDEMMXXX,135,15
HELADEF1RRS,MHCBJPJTXXX,90,10
MHCBJPJTXXX,HELADEF1RRS,90,15
BOFAUS3NXXX,MHCBJPJTXXX,224,12
MHCBJPJTXXX,BOFAUS3NXXX,224,15
BAFUCH22XXX,MHCBJPJTXXX,78,14
MHCBJPJTXXX,BAFUCH22XXX,78,15
UTIBINBBXXX,MHCBJPJTXXX,82,15
MHCBJPJTXXX,UTIBINBBXXX,82,15
CITIUS33XXX,MHCBJPJTXXX,149,10
MHCBJPJTXXX,CITIUS33XXX,149,15
CHASUS33XXX,MHCBJPJTXXX,197,14
MHCBJPJTXXX,CHASUS33XXX,197,15
HDFCINBBXXX,MHCBJPJTXXX,238,20
MHCBJPJTXXX,HDFCINBBXXX,238,15
UBSWCHZH80A,MHCBJPJTXXX,229,17
MHCBJPJTXXX,UBSWCHZH80A,229,15
CCBCCNBJXXX,MHCBJPJTXXX,183,13
MHCBJPJTXXX,CCBCCNBJXXX,183,15
RABONL2UXXX,MHCBJPJTXXX,129,17
MHCBJPJTXXX,RABONL2UXXX,129,15
RBOSGB2LXXX,MHCBJPJTXXX,195,11
MHCBJPJTXXX,RBOSGB2LXXX,195,15
SOGEFRPPXXX,MHCBJPJTXXX,126,19
MHCBJPJTXXX,SOGEFRPPXXX,126,15
MIDLGB22XXX,MHCBJPJTXXX,113,13
MHCBJPJTXXX,MIDLGB22XXX,113,15
COBADEFFXXX,MHCBJPJTXXX,102,19
MHCBJPJTXXX,COBADEFFXXX,102,15
WPACAU2SXXX,MHCBJPJTXXX,165,20
MHCBJPJTXXX,WPACAU2SXXX,165,15
INGBNL2AXXX,MHCBJPJTXXX,104,14
MHCBJPJTXXX,INGBNL2AXXX,104,15
PCBCCNBJXXX,MHCBJPJTXXX,87,20
MHCBJPJTXXX,PCBCCNBJXXX,87,15
FVLBNL22XXX,ABNANL2AXXX,98,20
ABNANL2AXXX,FVLBNL22XXX,98,16
KNABNL2HXXX,ABNANL2AXXX,25,16
ABNANL2AXXX,KNABNL2HXXX,25,16
SNSBNL2AXXX,ABNANL2AXXX,106,15
ABNANL2AXXX,SNSBNL2AXXX,106,16
TRIONL2UXXX,ABNANL2AXXX,29,19
ABNANL2AXXX,TRIONL2UXXX,29,16
NWABNL2GXXX,ABNANL2AXXX,100,15
ABNANL2AXXX,NWABNL2GXXX,100,16
RABONL2UXXX,ABNANL2AXXX,19,17
ABNANL2AXXX,RABONL2UXXX,19,16
RBRBNL21XXX,ABNANL2AXXX,124,16
ABNANL2AXXX,RBRBNL21XXX,124,16
ASNBNL21XXX,ABNANL2AXXX,16,19
ABNANL2AXXX,ASNBNL21XXX,16,16
INGBNL2AXXX,ABNANL2AXXX,73,14
ABNANL2AXXX,INGBNL2AXXX,73,16
BNPAFRPPXXX,ABNANL2AXXX,91,18
ABNANL2AXXX,BNPAFRPPXXX,91,16
MHCBJPJTXXX,ABNANL2AXXX,103,15
ABNANL2AXXX,MHCBJPJTXXX,103,16
DEUTDEBBXXX,ABNANL2AXXX,204,15
ABNANL2AXXX,DEUTDEBBXXX,204,16
MMTOJPJTXXX,ABNANL2AXXX,192,20
ABNANL2AXXX,MMTOJPJTXXX,192,16
NATAAU3302S,ABNANL2AXXX,178,16
ABNANL2AXXX,NATAAU3302S,178,16
BLKBCH22XXX,ABNANL2AXXX,235,17
ABNANL2AXXX,BLKBCH22XXX,235,16
CRESCHZZXXX,ABNANL2AXXX,175,11
ABNANL2AXXX,CRESCHZZXXX,175,16
CRLYFRPPXXX,ABNANL2AXXX,197,12
ABNANL2AXXX,CRLYFRPPXXX,197,16
AGRIFRPPXXX,ABNANL2AXXX,76,11
ABNANL2AXXX,AGRIFRPPXXX,76,16
HSBCGB2LXXX,ABNANL2AXXX,84,14
ABNANL2AXXX,HSBCGB2LXXX,84,16
SBININBBFXD,ABNANL2AXXX,154,15
ABNANL2AXXX,SBININBBFXD,154,16
ANZBAU3MXXX,ABNANL2AXXX,74,13
ABNANL2AXXX,ANZBAU3MXXX,74,16
BOTKJPJTXXX,ABNANL2AXXX,72,15
ABNANL2AXXX,BOTKJPJTXXX,72,16
BARCGB22XXX,ABNANL2AXXX,97,18
ABNANL2AXXX,BARCGB22XXX,97,16
SMBCJPJTXXX,ABNANL2AXXX,143,14
ABNANL2AXXX,SMBCJPJTXXX,143,16
CUSCAU2SXXX,ABNANL2AXXX,208,20
ABNANL2AXXX,CUSCAU2SXXX,208,16
ICICINBBCTS,ABNANL2AXXX,163,20
ABNANL2AXXX,ICICINBBCTS,163,16
WFBIUS6SXXX,ABNANL2AXXX,196,15
ABNANL2AXXX,WFBIUS6SXXX,196,16
ABOCCNBJXXX,ABNANL2AXXX,69,10
ABNANL2AXXX,ABOCCNBJXXX,69,16
BKCHCNBJXXX,ABNANL2AXXX,88,12
ABNANL2AXXX,BKCHCNBJXXX,88,16
HYVEDEMMXXX,ABNANL2AXXX,240,10
ABNANL2AXXX,HYVEDEMMXXX,240,16
HELADEF1RRS,ABNANL2AXXX,96,10
ABNANL2AXXX,HELADEF1RRS,96,16
BOFAUS3NXXX,ABNANL2AXXX,221,12
ABNANL2AXXX,BOFAUS3NXXX,221,16
BAFUCH22XXX,ABNANL2AXXX,82,14
ABNANL2AXXX,BAFUCH22XXX,82,16
UTIBINBBXXX,ABNANL2AXXX,240,15
ABNANL2AXXX,UTIBINBBXXX,240,16
CITIUS33XXX,ABNANL2AXXX,69,10
ABNANL2AXXX,CITIUS33XXX,69,16
CHASUS33XXX,ABNANL2AXXX,217,14
ABNANL2AXXX,CHASUS33XXX,217,16
HDFCINBBXXX,ABNANL2AXXX,73,20
ABNANL2AXXX,HDFCINBBXXX,73,16
UBSWCHZH80A,ABNANL2AXXX,60,17
ABNANL2AXXX,UBSWCHZH80A,60,16
CCBCCNBJXXX,ABNANL2AXXX,227,13
ABNANL2AXXX,CCBCCNBJXXX,227,16
RBOSGB2LXXX,ABNANL2AXXX,167,11
ABNANL2AXXX,RBOSGB2LXXX,167,16
SOGEFRPPXXX,ABNANL2AXXX,92,19
ABNANL2AXXX,SOGEFRPPXXX,92,16
MIDLGB22XXX,ABNANL2AXXX,89,13
ABNANL2AXXX,MIDLGB22XXX,89,16
COBADEFFXXX,ABNANL2AXXX,130,19
ABNANL2AXXX,COBADEFFXXX,130,16
WPACAU2SXXX,ABNANL2AXXX,225,20
ABNANL2AXXX,WPACAU2SXXX,225,16
PCBCCNBJXXX,ABNANL2AXXX,208,20
ABNANL2AXXX,PCBCCNBJXXX,208,16
RVSADE77XXX,DEUTDEBBXXX,53,20
DEUTDEBBXXX,RVSADE77XXX,53,15
MARBDE6LXXX,DEUTDEBBXXX,76,18
DEUTDEBBXXX,MARBDE6LXXX,76,15
HYVEDEMMXXX,DEUTDEBBXXX,80,10
DEUTDEBBXXX,HYVEDEMMXXX,80,15
HELADEF1RRS,DEUTDEBBXXX,64,10
DEUTDEBBXXX,HELADEF1RRS,64,15
DRESDEFFXXX,DEUTDEBBXXX,93,18
DEUTDEBBXXX,DRESDEFFXXX,93,15
GENODEFFXXX,DEUTDEBBXXX,22,13
DEUTDEBBXXX,GENODEFFXXX,22,15
MALADE51XXX,DEUTDEBBXXX,74,12
DEUTDEBBXXX,MALADE51XXX,74,15
COBADEFFXXX,DEUTDEBBXXX,101,19
DEUTDEBBXXX,COBADEFFXXX,101,15
INGBDEFFXXX,DEUTDEBBXXX,46,18
DEUTDEBBXXX,INGBDEFFXXX,46,15
BNPAFRPPXXX,DEUTDEBBXXX,239,18
DEUTDEBBXXX,BNPAFRPPXXX,239,15
KNABNL2HXXX,DEUTDEBBXXX,164,16
DEUTDEBBXXX,KNABNL2HXXX,164,15
MHCBJPJTXXX,DEUTDEBBXXX,218,15
DEUTDEBBXXX,MHCBJPJTXXX,218,15
ABNANL2AXXX,DEUTDEBBXXX,195,16
DEUTDEBBXXX,ABNANL2AXXX,195,15
MMTOJPJTXXX,DEUTDEBBXXX,173,20
DEUTDEBBXXX,MMTOJPJTXXX,173,15
NATAAU3302S,DEUTDEBBXXX,66,16
DEUTDEBBXXX,NATAAU3302S,66,15
BLKBCH22XXX,DEUTDEBBXXX,195,17
DEUTDEBBXXX,BLKBCH22XXX,195,15
CRESCHZZXXX,DEUTDEBBXXX,210,11
DEUTDEBBXXX,CRESCHZZXXX,210,15
CRLYFRPPXXX,DEUTDEBBXXX,227,12
DEUTDEBBXXX,CRLYFRPPXXX,227,15
AGRIFRPPXXX,DEUTDEBBXXX,218,11
DEUTDEBBXXX,AGRIFRPPXXX,218,15
HSBCGB2LXXX,DEUTDEBBXXX,210,14
DEUTDEBBXXX,HSBCGB2LXXX,210,15
SBININBBFXD,DEUTDEBBXXX,237,15
DEUTDEBBXXX,SBININBBFXD,237,15
ANZBAU3MXXX,DEUTDEBBXXX,194,13
DEUTDEBBXXX,ANZBAU3MXXX,194,15
BOTKJPJTXXX,DEUTDEBBXXX,223,15
DEUTDEBBXXX,BOTKJPJTXXX,223,15
BARCGB22XXX,DEUTDEBBXXX,238,18
DEUTDEBBXXX,BARCGB22XXX,238,15
SMBCJPJTXXX,DEUTDEBBXXX,180,14
DEUTDEBBXXX,SMBCJPJTXXX,180,15
CUSCAU2SXXX,DEUTDEBBXXX,150,20
DEUTDEBBXXX,CUSCAU2SXXX,150,15
ICICINBBCTS,DEUTDEBBXXX,89,20
DEUTDEBBXXX,ICICINBBCTS,89,15
WFBIUS6SXXX,DEUTDEBBXXX,210,15
DEUTDEBBXXX,WFBIUS6SXXX,210,15
ABOCCNBJXXX,DEUTDEBBXXX,220,10
DEUTDEBBXXX,ABOCCNBJXXX,220,15
BKCHCNBJXXX,DEUTDEBBXXX,73,12
DEUTDEBBXXX,BKCHCNBJXXX,73,15
BOFAUS3NXXX,DEUTDEBBXXX,177,12
DEUTDEBBXXX,BOFAUS3NXXX,177,15
BAFUCH22XXX,DEUTDEBBXXX,104,14
DEUTDEBBXXX,BAFUCH22XXX,104,15
UTIBINBBXXX,DEUTDEBBXXX,173,15
DEUTDEBBXXX,UTIBINBBXXX,173,15
CITIUS33XXX,DEUTDEBBXXX,101,10
DEUTDEBBXXX,CITIUS33XXX,101,15
CHASUS33XXX,DEUTDEBBXXX,186,14
DEUTDEBBXXX,CHASUS33XXX,186,15
HDFCINBBXXX,DEUTDEBBXXX,117,20
DEUTDEBBXXX,HDFCINBBXXX,117,15
UBSWCHZH80A,DEUTDEBBXXX,119,17
DEUTDEBBXXX,UBSWCHZH80A,119,15
CCBCCNBJXXX,DEUTDEBBXXX,101,13
DEUTDEBBXXX,CCBCCNBJXXX,101,15
RABONL2UXXX,DEUTDEBBXXX,73,17
DEUTDEBBXXX,RABONL2UXXX,73,15
RBOSGB2LXXX,DEUTDEBBXXX,174,11
DEUTDEBBXXX,RBOSGB2LXXX,174,15
SOGEFRPPXXX,DEUTDEBBXXX,100,19
DEUTDEBBXXX,SOGEFRPPXXX,100,15
MIDLGB22XXX,DEUTDEBBXXX,177,13
DEUTDEBBXXX,MIDLGB22XXX,177,15
WPACAU2SXXX,DEUTDEBBXXX,152,20
DEUTDEBBXXX,WPACAU2SXXX,152,15
INGBNL2AXXX,DEUTDEBBXXX,235,14
DEUTDEBBXXX,INGBNL2AXXX,235,15
PCBCCNBJXXX,DEUTDEBBXXX,110,20
DEUTDEBBXXX,PCBCCNBJXXX,110,15
MHCBJPJTXXX,MMTOJPJTXXX,76,15
MMTOJPJTXXX,MHCBJPJTXXX,76,20
CHASJPJTXXX,MMTOJPJTXXX,97,11
MMTOJPJTXXX,CHASJPJTXXX,97,20
ZENJJPJTXXX,MMTOJPJTXXX,23,16
MMTOJPJTXXX,ZENJJPJTXXX,23,20
BOTKJPJTXXX,MMTOJPJTXXX,67,15
MMTOJPJTXXX,BOTKJPJTXXX,67,20
ICBKJPJTXXX,MMTOJPJTXXX,81,13
MMTOJPJTXXX,ICBKJPJTXXX,81,20
SMBCJPJTXXX,MMTOJPJTXXX,124,14
MMTOJPJTXXX,SMBCJPJTXXX,124,20
NACNJPJTXXX,MMTOJPJTXXX,64,13
MMTOJPJTXXX,NACNJPJTXXX,64,20
MSKBJPJTXXX,MMTOJPJTXXX,50,20
MMTOJPJTXXX,MSKBJPJTXXX,50,20
SNNFJPJTXXX,MMTOJPJTXXX,112,17
MMTOJPJTXXX,SNNFJPJTXXX,112,20
BNPAFRPPXXX,MMTOJPJTXXX,138,18
MMTOJPJTXXX,BNPAFRPPXXX,138,20
KNABNL2HXXX,MMTOJPJTXXX,60,16
MMTOJPJTXXX,KNABNL2HXXX,60,20
ABNANL2AXXX,MMTOJPJTXXX,122,16
MMTOJPJTXXX,ABNANL2AXXX,122,20
DEUTDEBBXXX,MMTOJPJTXXX,168,15
MMTOJPJTXXX,DEUTDEBBXXX,168,20
NATAAU3302S,MMTOJPJTXXX,210,16
MMTOJPJTXXX,NATAAU3302S,210,20
BLKBCH22XXX,MMTOJPJTXXX,102,17
MMTOJPJTXXX,BLKBCH22XXX,102,20
CRESCHZZXXX,MMTOJPJTXXX,182,11
MMTOJPJTXXX,CRESCHZZXXX,182,20
CRLYFRPPXXX,MMTOJPJTXXX,147,12
MMTOJPJTXXX,CRLYFRPPXXX,147,20
AGRIFRPPXXX,MMTOJPJTXXX,147,11
MMTOJPJTXXX,AGRIFRPPXXX,147,20
HSBCGB2LXXX,MMTOJPJTXXX,115,14
MMTOJPJTXXX,HSBCGB2LXXX,115,20
SBININBBFXD,MMTOJPJTXXX,188,15
MMTOJPJTXXX,SBININBBFXD,188,20
ANZBAU3MXXX,MMTOJPJTXXX,93,13
MMTOJPJTXXX,ANZBAU3MXXX,93,20
BARCGB22XXX,MMTOJPJTXXX,172,18
MMTOJPJTXXX,BARCGB22XXX,172,20
CUSCAU2SXXX,MMTOJPJTXXX,67,20
MMTOJPJTXXX,CUSCAU2SXXX,67,20
ICICINBBCTS,MMTOJPJTXXX,134,20
MMTOJPJTXXX,ICICINBBCTS,134,20
WFBIUS6SXXX,MMTOJPJTXXX,185,15
MMTOJPJTXXX,WFBIUS6SXXX,185,20
ABOCCNBJXXX,MMTOJPJTXXX,181,10
MMTOJPJTXXX,ABOCCNBJXXX,181,20
BKCHCNBJXXX,MMTOJPJTXXX,175,12
MMTOJPJTXXX,BKCHCNBJXXX,175,20
HYVEDEMMXXX,MMTOJPJTXXX,122,10
MMTOJPJTXXX,HYVEDEMMXXX,122,20
HELADEF1RRS,MMTOJPJTXXX,93,10
MMTOJPJTXXX,HELADEF1RRS,93,20
BOFAUS3NXXX,MMTOJPJTXXX,170,12
MMTOJPJTXXX,BOFAUS3NXXX,170,20
BAFUCH22XXX,MMTOJPJTXXX,173,14
MMTOJPJTXXX,BAFUCH22XXX,173,20
UTIBINBBXXX,MMTOJPJTXXX,192,15
MMTOJPJTXXX,UTIBINBBXXX,192,20
CITIUS33XXX,MMTOJPJTXXX,119,10
MMTOJPJTXXX,CITIUS33XXX,119,20
CHASUS33XXX,MMTOJPJTXXX,194,14
MMTOJPJTXXX,CHASUS33XXX,194,20
HDFCINBBXXX,MMTOJPJTXXX,96,20
